測定局コード,測定局名
08201030,水戸石川
08201040,水戸東部
08201510,水戸大工町
08202020,日立市役所
08202050,日立多賀
08202200,日立南部
08203010,土浦保健所
08203520,土浦中村南
08204010,古河保健所
08205020,石岡杉並
08206020,筑西
08208010,竜ヶ崎保健所
08210010,下妻
08211010,常総
08212010,常陸太田
08213010,常陸那珂勝田
08214010,高萩本町
08215010,北茨城中郷
08216010,笠間
08217010,取手市役所
08220010,つくば高野
08221010,ひたちなか
08302010,東茨城大戸
08341010,常陸那珂東海
08342010,那珂
08344010,大宮野中
08402010,鉾田
08405010,鹿島宮中
08405020,鹿島高天原
08406010,神栖下幡木
08406030,鹿島事務所
08406050,神栖消防
08406060,神栖一貫野
08406080,神栖横瀬
08407010,波崎太田
08423040,潮来保健所
08441010,江戸崎公民館
08541010,古河市役所
08561510,守谷
09201060,雀宮中学校
09201070,瑞穂野北小学校
09201080,細谷小学校
09201100,泉が丘小学校
09201110,清原
09201120,中央
09201570,大通り
09201580,平出
09202010,足利市役所
09203010,栃木市役所
09203030,栃木市藤岡公民館
09203520,栃木市平柳町交差点
09204020,県安蘇庁舎
09205010,鹿沼市役所
09207010,日光市今市小学校
09208010,小山市立大谷中学校
09208520,小山市おぐら橋
09209010,真岡市役所
09211010,矢板市役所
09211510,矢板市大谷津歩道橋
09212010,那須塩原市黒磯保健センター
09216010,下野市南河内庁舎
09301010,上三川町役場
09301510,上三川町上蒲生歩道橋
09304010,河内測定局
09364010,野木町役場
09383010,日光市役所藤原行政センター
09402010,県南那須庁舎
10201060,前橋南局
10201070,前橋東局
10201510,国設前橋自動車交通環境測定所
10202010,高崎勤労ホーム駐車場
10203010,桐生市立東小学校
10203510,桐生自排局
10204030,伊勢崎市立南小学校
10204510,伊勢崎自排
10205010,太田市立中央小学校
10205510,太田自排局
10206010,沼田市立沼田小学校
10207010,館林市民センター
10207510,館林自排
10208010,渋川第１測定局
10208510,渋川自排
10210010,富岡市立富岡小学校
10211010,安中第１測定
10211040,岩野谷公民館
10211060,安中市立安中小学校
10211510,安中自排
10423010,東吾妻町立東吾妻中学校
10425010,嬬恋村運動公園
10449010,みなかみ町カルチャーセンター
10464010,県央水質浄化センター
11110010,さいたま市城南
11110510,さいたま市西原自排
11201030,川越市高階
11201040,川越市川越
11201050,川越市霞ケ関
11201510,川越市仙波
11202040,熊谷
11202510,熊谷肥塚自排
11203030,川口市横曽根
11203040,川口市南平
11203050,川口市新郷
11203060,川口市芝
11203510,川口市安行
11203530,川口市神根
11204010,さいたま市役所
11204040,さいたま市根岸
11204520,さいたま市曲本自排
11204530,さいたま市辻自排
11205020,さいたま市宮原
11205030,さいたま市春里
11205040,さいたま市指扇
11205050,さいたま市片柳
11205120,さいたま市大宮
11205530,さいたま市三橋自排
11205540,さいたま市大和田自排
11206020,行田
11207010,秩父
11208060,所沢市東所沢
11208070,所沢市北野
11208090,所沢市中富
11208520,所沢市航空公園
11208530,所沢市和ヶ原
11209010,飯能
11210010,加須
11211010,本庄
11212020,東松山
11212520,東松山岩鼻自排
11213010,さいたま市岩槻
11214030,春日部
11214510,春日部増戸自排
11215010,狭山
11216010,羽生
11217010,鴻巣
11217510,鴻巣天神自排
11218010,深谷
11218510,深谷原郷自排
11219020,上尾
11221050,草加市西町
11221510,草加市花栗自排
11221520,草加市原町自排
11222020,越谷市東越谷
11222030,越谷市千間台西
11224010,戸田
11224510,戸田美女木自排
11225010,入間
11225510,国設入間自動車交通環境測定所
11229010,和光
11229510,和光新倉自排
11230070,新座
11232010,久喜
11232510,久喜本町自排
11234010,八潮
11235010,富士見
11235510,富士見下南畑自排
11237020,三郷
11238010,蓮田
11239010,坂戸
11240010,幸手
11241510,鶴ヶ島自排
11326010,毛呂山
11329010,日高
11343010,小川
11344010,東秩父
11346510,川島自排
11362010,皆野
11382010,本庄児玉
11403010,熊谷妻沼東
11408510,寄居桜沢自排
11421010,環境科学国際センター
11442010,宮代
12105010,泉谷小学校
12201010,花見川小学校
12201020,検見川小学校
12201040,山王小学校
12201050,宮野木
12201070,大宮小学校
12201090,千城台わかば小学校
12201120,寒川小学校
12201160,福正寺
12201180,蘇我保育所
12201200,千葉市役所自排
12201250,都公園
12201260,土気
12201300,千草自排
12201320,真砂公園
12201520,葭川自排
12201540,宮野木自排
12201570,真砂自排
12202090,銚子栄
12203040,市川二俣
12203080,市川大野
12203110,市川本八幡局
12203120,市川行徳駅前
12203510,市川市市川（車）
12203520,市川行徳（車）
12203550,市川稲荷木（車）
12204040,船橋丸山
12204050,船橋高根
12204060,船橋高根台
12204070,船橋前原
12204100,船橋豊富
12204110,船橋印内
12204140,船橋若松
12204150,船橋南本町
12204520,船橋海神（車）
12204530,船橋日の出（車）
12205030,館山亀ケ原
12206010,木更津中央
12206030,木更津畔戸
12206070,木更津清見台
12206080,木更津畑沢
12206140,木更津真里谷
12206520,木更津請西（車）
12206530,木更津牛袋（車）
12207010,松戸根本
12207020,松戸五香
12207030,松戸二ツ木
12207520,松戸上本郷（車）
12208010,野田市野田
12208510,国設野田自動車交通環境測定
12209010,香取大倉
12210010,茂原高師
12211040,成田加良部
12211510,成田花崎（車）
12212040,佐倉江原新田
12212520,佐倉山王（車）
12213010,東金堀上
12214010,匝瑳椿
12216010,習志野鷺沼
12217020,柏永楽台
12217030,柏大室
12217510,柏旭（車）
12217520,柏西原（車）
12218020,勝浦植野
12219010,市原八幡
12219030,市原五井
12219060,市原姉崎
12219090,市原廿五里
12219110,市原潤井戸
12219120,市原辰巳台
12219140,市原有秋
12219180,市原松崎
12219190,市原岩崎西
12219200,市原郡本
12219380,市原平野
12219390,市原奉免
12219520,市原中川田（車）
12220010,流山平和台
12221020,八千代高津
12221510,八千代村上（車）
12222010,我孫子湖北台
12224040,鎌ケ谷軽井沢
12224510,鎌ケ谷初富（車）
12225010,君津久保
12225080,君津人見
12225090,君津俵田
12225120,君津糠田
12226010,富津下飯野
12227510,浦安美浜（車）
12228010,四街道鹿渡
12230010,八街市八街
12301020,浦安猫実
12303010,野田桐ケ作
12305510,柏大津ケ丘（車）
12326010,白井七次台
12327010,印西高花
12329010,栄安食台
12343010,成田奈土
12344020,香取羽根川
12345020,香取府馬
12408010,横芝光横芝
12409010,芝山山田
12421020,一宮東浪見
12463010,鋸南下佐久間
12481010,袖ケ浦坂戸市場
12481040,袖ケ浦代宿
12481050,袖ケ浦三ッ作
12481080,袖ケ浦横田
12481160,袖ケ浦長浦
12481510,袖ケ浦福王台（車）
12481520,袖ケ浦大曽根（車）
13101010,千代田区神田司町
13101510,日比谷交差点
13101520,国設霞が関
13102010,中央区晴海
13102510,永代通り新川
13103010,港区高輪
13103510,第一京浜高輪
13104010,国設東京（新宿）
13104540,国設新宿
13104550,新目白通り下落合
13105010,文京区本駒込
13105530,春日通り大塚
13106520,明治通り大関横丁
13107520,水戸街道東向島
13108010,江東区大島
13108020,港区台場
13108520,京葉道路亀戸
13108530,三ツ目通り辰巳
13109010,品川区豊町
13109030,品川区八潮
13109510,北品川交差点
13109520,中原口交差点
13110010,目黒区碑文谷
13110510,山手通り大坂橋
13110530,環七通り柿の木坂
13111010,大田区東糀谷
13111520,環七通り松原橋
13111530,中原街道南千束
13111540,環八通り千鳥
13112010,世田谷区世田谷
13112020,世田谷区成城
13112510,玉川通り上馬
13112520,環八通り八幡山
13113010,渋谷区宇田川町
13113510,甲州街道大原
13114010,中野区若宮
13114510,山手通り東中野
13115010,杉並区久我山
13115550,早稲田通り下井草
13116530,明治通り西巣鴨
13117520,北本通り王子
13118010,荒川区南千住
13119010,板橋区氷川町
13119510,中山道大和町
13120010,練馬区北町
13120020,練馬区石神井台
13120030,練馬区練馬
13121010,足立区西新井
13121020,足立区綾瀬
13121510,日光街道梅島
13122010,葛飾区鎌倉
13122020,葛飾区水元公園
13122520,環七通り亀有
13123010,江戸川区鹿骨
13123020,江戸川区春江町
13123030,江戸川区南葛西
13201020,八王子市片倉町
13201040,八王子市館町
13201060,八王子市大楽寺町
13201510,甲州街道八木町
13202010,立川市泉町
13203010,武蔵野市関前
13203510,五日市街道武蔵境
13204510,連雀通り下連雀
13205010,青梅市東青梅
13206010,府中市四谷
13208020,調布市深大寺南町
13209010,町田市金森
13209020,町田市能ケ谷町
13210010,小金井市本町
13211010,小平市小川町
13212520,川崎街道百草園
13213510,新青梅街道東村山
13215510,甲州街道国立
13216010,西東京市南町
13217010,西東京市下保谷
13217510,青梅街道柳沢
13218010,福生市本町
13219010,狛江市中和泉
13220010,東大和市奈良橋
13221010,清瀬市上清戸
13222510,小金井街道東久留米
13224010,多摩市愛宕
13303520,東京環状長岡
13421950,国設小笠原酸性雨
14101010,鶴見区潮田交流プラザ
14101020,鶴見区生麦小学校
14101520,鶴見区下末吉小学校
14102010,神奈川区総合庁舎
14103010,西区平沼小学校
14103510,西区浅間下交差点
14104020,中区加曽台
14104030,中区本牧
14105020,南区横浜商業高校
14106010,保土ヶ谷区桜丘高校
14107010,磯子区総合庁舎
14107520,磯子区滝頭
14108020,金沢区長浜
14109040,港北区総合庁舎
14110050,戸塚区汲沢小学校
14110510,戸塚区矢沢交差点
14111020,港南区野庭中央公園
14111520,港南中学校
14112020,旭区鶴ヶ峯小学校
14112510,旭区都岡小学校
14113020,緑区三保小学校
14113510,青葉台
14113520,資源循環都筑工場前
14114020,瀬谷区南瀬谷小学校
14115010,栄区上郷小学校
14116010,泉区総合庁舎
14117010,青葉区総合庁舎
14118010,都筑区総合庁舎
14131020,川崎区役所大師支所
14131030,国設川崎
14131100,川崎市役所第４庁舎
14131530,池上新田公園前
14131540,日進町
14131550,富士見公園
14132060,幸スポーツセンター
14132510,遠藤町交差点
14133010,中原区地域支援みまもりセンター
14133520,中原平和公園
14134010,生活文化会館
14134530,二子
14135070,弘法松公園
14135080,登戸小学校
14135530,柿生
14135540,本村橋
14136010,宮前平小学校
14136510,宮前平駅前
14153510,古淵
14201020,追浜行政センター
14201040,西行政センター
14201050,久里浜行政センター
14201080,池上コミュニティセンター測定局
14201530,小川町交差点
14203030,神田小学校
14203040,旭小学校
14203050,花水小学校
14203100,大野公民館
14203510,松原歩道橋
14204010,鎌倉市役所
14204530,鎌倉市岡本
14205010,藤沢市役所
14205030,湘南台小学校
14205040,御所見小学校
14205050,明治市民センター
14205510,藤沢橋
14206010,小田原市役所
14206520,小田原市東町測定局
14207010,茅ケ崎市役所
14207510,茅ケ崎駅前交差点
14208020,逗子市役所
14208520,逗子市逗子
14209010,相模原市役所
14209020,相模台
14209030,橋本
14209040,田名
14209050,津久井
14209530,上溝
14210010,三浦市城山
14211010,秦野市役所
14211510,秦野市本町
14212020,厚木市中町
14212520,厚木市金田
14212530,厚木市水引
14213010,大和市役所
14213510,大和市深見台交差点
14214020,伊勢原市役所
14214510,伊勢原市谷戸岡
14215010,海老名市役所
14216020,座間市役所
14217020,南足柄市生駒
14218010,綾瀬市役所
14321010,寒川町役場
14382010,箱根町宮城野
14401010,愛川町角田
15102510,東山の下
15108010,巻
15201060,大山
15201150,太郎代
15201220,山木戸
15201270,松浜
15201322,市役所
15201410,坂井輪
15201420,豊栄
15201430,亀田
15201560,長嶺
15201570,白根
15202080,長岡工業高校
15202510,城岡自排
15205060,柏崎
15206050,新発田
15207020,新津
15212010,村上
15213010,燕
15216010,糸魚川
15217050,大崎
15222190,深谷
15224010,佐渡
15224950,国設佐渡関岬酸性雨
15307080,杉谷内
15310010,中条
15463010,六日町
15543010,西福島
16201021,富山芝園
16201110,富山水橋
16201140,富山蜷川
16201400,富山岩瀬
16201510,富山城址
16201520,富山豊田
16202060,高岡伏木
16202520,高岡大坪
16203030,新湊海老江
16204090,魚津
16205180,氷見
16206240,滑川上島
16207011,黒部植木
16208120,砺波
16209100,小矢部
16342060,入善
16362010,婦中速星
16381010,小杉太閤山
16408060,福野
17201090,西南部
17201110,小立野
17201290,中央
17201300,駅西
17201310,西部
17201320,北部
17201550,武蔵
17201560,片町
17201650,山科
17202190,七尾
17202200,石崎
17202240,大田
17203140,小松
17204010,輪島
17205020,珠洲
17206010,大聖寺
17207010,羽咋
17208010,松任
17208020,山島
17321010,根上
17342010,美川
17344520,野々市
17361010,津幡
17365010,内灘
17401010,田鶴浜
17404010,鹿島
17405010,能登島
18201040,福井
18201060,石橋
18201070,岡保
18201540,自排福井
18202020,敦賀
18202190,和久野
18202530,自排敦賀
18203010,武生
18203100,味真野大気
18203110,武生北
18204010,小浜
18205010,大野
18207010,神明
18207050,御幸
18207080,鯖江東
18207520,自排丹南
18361010,三国
18363010,金津
18363020,中川
18366010,坂井
18381010,今立
18441010,三方
19201011,甲府市役所自排
19201030,甲府穴切
19201510,国母自排
19202030,吉田
19204010,都留
19205020,東山梨
19206010,大月
19207030,韮崎
19321030,笛吹
19366010,南部
19390030,南アルプス
19441030,上野原
20201030,環境保全研究所
20201070,吉田
20201110,篠ノ井
20201150,豊野
20201510,小島田
20202050,松本
20202060,松本庄内
20202510,松本渚交差点
20203010,上田
20204510,岡谷インターチェンジ
20205010,飯田
20206010,諏訪
20207010,須坂
20208020,小諸
20209010,伊那
20211010,中野
20212160,大町
20216510,更埴インターチェンジ
20217020,佐久
20421030,木曽
20485950,国設八方尾根酸性雨
21201010,岐阜中央
21201020,岐阜南部
21201030,岐阜北部
21201520,明徳自動車排ガス
21202010,大垣西部
21202020,大垣中央
21202050,大垣南部
21202510,大垣自動車排出ガス測定局
21203010,高山
21205360,関
21206010,中津川
21208010,瑞浪
21209020,羽島
21210501,恵那
21211010,美濃加茂測定局
21212510,土岐自動車排出ガス測定局
21213020,各務原
21214510,可児自動車排出ガス測定局
21215950,国設伊自良湖酸性雨
21218010,本巣
21220010,下呂
21221010,海津
21401010,揖斐
21541010,笠原
22102010,南中学校測定局
22103010,清水第七中学校測定局
22132540,浜松環状線
22135010,三ヶ日
22137010,天竜測定局
22201030,千代田小学校
22201060,長田南中学校
22201090,服織小学校
22201500,常磐公園
22201530,自排丸子
22202040,浜松中央測定局
22202080,西部測定局
22202120,東北部測定局
22202150,東南部測定局
22202160,北部測定局
22202520,Ｒ－２５７
22202530,Ｒ－１５０
22203010,東部総合庁舎
22204010,清水区役所
22204020,清水三保第一小学校
22204090,清水庵原中学校
22204100,清水興津北公園
22204510,自排神明
22205010,熱海総合庁舎
22206010,三島市役所
22206510,自排三島
22207010,富士宮市役所
22208020,伊東市役所
22209010,島田市役所
22210010,救急医療センター
22210020,吉原第三中学校
22210030,富士広見小学校
22210040,元吉原中学校
22210050,鷹岡小学校
22210060,大淵中学校
22210070,富士中学校
22210160,東小学校
22210170,南松野
22210510,自排塔の木
22210520,自排宮島
22211010,磐田市役所
22212010,焼津中学校
22213010,掛川市役所
22213510,自排掛川
22214010,藤枝大気測定室
22214510,自排藤枝
22215010,御殿場市役所
22216010,袋井市役所
22218010,浜北測定局
22219010,下田市役所
22220010,裾野市民文化センター
22221010,湖西市役所
22327010,大仁北小学校
22381010,富士川第一中学校
22382010,蒲原測定局
22402010,大井川東小学校
22423010,牧之原市役所
22447010,掛川市大東支所
22522010,引佐測定局
23101010,国設名古屋大気環境測定所
23103011,上下水道局北営業所
23103020,城北つばさ高校
23104510,名塚中学校
23105050,名楽町
23106018,若宮大通公園
23107020,滝川小学校
23109520,熱田神宮公園
23110040,八幡中学校
23110050,富田支所
23111010,惟信高校
23111021,港陽
23112020,白水小学校
23112060,千竃
23112510,元塩公園
23113010,守山保健センター
23114010,大高北小学校
23116010,天白保健センター
23201030,大崎
23201040,石巻
23201060,野依
23201170,二川
23201540,今橋
23202030,東部樫山
23202040,南部庄司田
23202510,大平
23202550,矢作
23202560,鴨田
23203010,一宮市松降通
23203510,一宮市平島
23204510,瀬戸市陶原町
23205050,半田市東洋町
23206270,春日井市朝宮公園
23206530,春日井市勝川小学校
23207010,豊川市役所
23207510,豊川市桜町
23208530,津島市埋田町
23209080,碧南市川口町
23209510,碧南市文化会館
23210040,刈谷市寿町
23211020,南部局(竹元町)
23211040,中部局(三軒町)
23211050,北部局(加納町)
23211060,東部局(宝来町)
23211530,新田局（花園町）
23212030,安城農林高校
23213010,愛厚ホーム西尾苑
23214010,蒲郡市御幸町
23215010,犬山消防署
23216110,常滑浄化センター
23217010,江南市古知野町
23218010,一宮市小信中島
23219010,小牧高校
23220510,稲沢市役所
23221010,新城消防署
23222010,東海市名和町
23222020,東海市横須賀小学校
23223010,大府小学校
23224030,知多市新舞子保育園
23225040,知立市役所
23226010,尾張旭市東大道町
23227010,高浜小学校
23228010,岩倉市中本町
23229010,豊明中学校
23230510,日進市上納池スポーツ公園
23233510,清須市阿原
23302010,東郷町春木
23303020,日進市五色園
23304010,長久手中学校
23342010,豊山町豊場
23342510,豊山町栄児童遊園
23381010,一宮市木曽川町
23421010,あま市伊福小学校
23422510,あま市稲荷公園
23425510,蟹江町八幡
23427510,国設飛島自動車交通環境測定所
23428010,弥富市役所
23441010,阿久比中学校
23442010,東浦町役場
23446020,美浜町奥田
23447010,武豊町役場
23481010,西尾市役所一色支所
23501010,幸田小学校
23604010,豊川市御津南部小学校
23621071,田原市童浦小学校
23623020,田原市古田町
24201020,林業研究所
24201030,津河辺配水場
24202010,磯津
24202030,三浜
24202050,北星高校
24202060,四日市商業高校
24202510,納屋
24202530,北消防署
24202540,伊坂
24203010,伊勢厚生中学校
24204010,松阪第五小学校
24204510,国道２３号松阪三雲
24205010,桑名上野
24205510,国道258号桑名
24206020,伊賀緑ヶ丘中学校
24206030,伊賀柘植
24207020,鈴鹿算所保育所
24207510,国道23号鈴鹿
24208010,名張小学校
24209210,尾鷲旧県職員公舎
24210010,亀山みなみ保育所
24210510,国道25号亀山
24211010,鳥羽高校
24212010,熊野木本中学校
24213010,津立成小学校
24215010,鵜方
24323010,大安中学校
24341810,御在所
24342010,楠
24344020,川越南小学校
24442010,明星小学校
25201060,下阪本
25201070,藤尾
25201080,堅田
25201090,膳所
25201510,逢坂
25201540,石山
25201570,上田上
25202090,彦根
25203030,長浜
25204050,八幡
25205030,東近江
25206030,草津
25206510,自排草津
25207010,守山
25209010,甲賀
25212010,高島
26101010,北
26102510,自排上京
26103010,左京
26104010,京都市役所
26104060,壬生
26104510,自排大宮
26104520,自排西ノ京
26107510,自排南
26109010,伏見
26109020,久我
26109030,醍醐
26110010,山科
26110510,自排山科
26111010,西京
26201040,福知山
26202030,東舞鶴
26203010,綾部
26204010,宇治
26205020,宮津
26206010,亀岡
26207030,城陽
26208020,向陽
26210510,国道１号
26212010,京丹後
26213010,南丹
26303020,大山崎
26303510,国道１７１号
26322020,久御山
26342020,田辺
26343010,井手
26362020,木津
26366030,精華
26367010,南山城
27101510,梅田新道
27103510,海老江西小学校
27104010,此花区役所
27104030,島屋小学校
27106010,九条南小学校
27108010,平尾小学校
27112010,大阪タワー
27113510,出来島小学校
27115010,国設大阪
27115510,今里交差点
27116010,桃谷中学校
27117010,大宮中学校
27117510,新森小路小学校
27118020,聖賢小学校
27120510,我孫子中学校
27121510,杭全町交差点
27122010,今宮中学校
27123010,野中小学校
27124010,茨田北小学校
27125010,清江小学校
27125030,南港中央公園
27125510,北粉浜小学校
27125520,住之江交差点
27126010,摂陽中学校
27143510,中環石原
27146010,金岡南
27147010,美原
27201020,少林寺
27201030,浜寺
27201050,石津
27201080,三宝
27201090,若松台
27201100,登美丘
27201340,深井
27201510,堺市役所
27201560,湾岸
27201570,常磐浜寺
27201580,阪和深井畑山
27201600,美原丹上
27202060,岸和田中央公園
27202530,天の川下水ポンプ場
27203030,豊中市菰江公園
27203510,豊中市役所
27203520,豊中市千里
27204030,池田市立南畑会館
27205060,吹田市垂水
27205080,吹田市北消防署
27205090,吹田市高野台
27205530,吹田簡易裁判所
27206030,泉大津市役所
27207020,高槻北
27207030,庄所
27207040,梶原
27207510,高槻市役所
27208010,貝塚市消防署
27209010,西部コミュニティーセンター
27209510,大阪府立淀川工科高等学校
27210010,枚方市役所
27210020,王仁公園
27210030,楠葉
27210510,招提
27210520,中振
27211010,茨木市役所
27212010,八尾市保健所
27212030,水越
27212510,太子堂
27212520,久宝寺緑地
27213050,佐野中学校
27213510,末広公園
27214020,富田林市役所
27215010,寝屋川市役所
27215020,成田
27216010,三日市公民館
27216520,外環河内長野
27217510,松原北小学校
27218010,大東市役所
27219040,緑ケ丘小学校
27221010,府立修徳学院
27224510,摂津市役所
27225010,高石中学校
27225510,カモドールＭＢＳ
27226030,藤井寺市役所
27227020,東大阪市六万寺
27227030,東大阪市環境衛生検査センター
27227040,東大阪市西保健センター
27228010,泉南市役所
27229510,国設四條畷
27301010,島本町役場
27321010,豊能町役場
27367010,南海団地
28101010,東灘
28101030,六甲アイランド
28101040,住吉南
28101520,魚崎自動車
28102010,灘
28102040,灘浜
28103010,葺合
28105010,兵庫南部
28106010,長田
28107010,須磨
28107020,白川台
28107510,西部自動車
28108010,垂水
28108020,西神
28108510,垂水自動車
28109010,南五葉
28109520,北神八多
28110010,港島
28110510,中部自動車
28111010,押部谷
28111510,西自動車
28201020,広畑
28201030,飾磨
28201040,白浜
28201050,御国野
28201060,網干
28201070,飾西
28201090,林田
28201380,八代
28201390,香寺
28201520,船場自動車排出ガス
28201530,飾磨自動車排出ガス
28202010,市立立花北小学校
28202020,国設尼崎
28202030,城内高校
28202520,武庫川
28202530,武庫荘総合高校
28202540,砂田こども広場
28202550,上坂部西公園
28202560,浜田
28202570,園和小学校
28202580,国設尼崎自動車交通環境測定所
28203020,二見
28203030,大久保
28203060,王子
28203510,林崎
28203530,小久保
28204010,西宮市役所
28204020,鳴尾支所
28204030,瓦木公民館
28204130,甲陵中学校
28204140,山口小学校
28204150,浜甲子園
28204510,六湛寺
28204520,津門川
28204530,河原
28204560,甲子園
28204570,塩瀬
28205010,洲本市役所
28206090,朝日ヶ丘小学校
28206510,打出
28207030,伊丹市役所
28208010,相生市役所
28208510,池ノ内
28209010,豊岡市役所
28209510,小尾崎
28210010,加古川市役所
28210020,尾上
28210030,別府
28210050,東神吉
28210180,志方公民館
28210190,平荘
28210520,平岡
28210530,鳩里
28211010,たつの市役所
28212010,赤穂市役所
28213010,西脇市役所
28214010,高司中学校
28214510,栄町
28216010,高砂市役所
28216520,中島
28217010,川西市役所
28217520,加茂
28217530,川西市　川西文珠橋局
28218510,上本町
28219010,三田市役所
28381010,稲美町役場
28382010,播磨町役場
28464010,太子町役場
28641010,柏原
29201020,西部
29201030,朱雀
29201060,飛鳥
29201530,自排柏木
29202010,高田
29204010,天理
29206010,桜井
29208010,御所
29209010,生駒
29363010,田原本
29425010,王寺
29451010,大台
30201020,衛生研究所
30201030,島橋地区会館
30201040,中之島小学校
30201050,環衛研
30201070,木の本社宅
30201080,湊小学校
30201110,明和中学校
30201130,小倉小学校
30201250,清明寮
30201270,市立和歌山高校
30201280,南消防宮前出張所
30201300,宮前小学校
30201520,新南小学校
30202020,内海小学校
30202140,日方小学校
30202160,黒江小学校
30202180,消防東出張所
30203010,伊都総合庁舎
30204030,有田市初島公民館
30205010,御坊監視支所
30206010,会津公園
30207010,新宮高校
30301020,下津港湾会館
30301030,加茂郷
30301050,加茂川小学校
30322010,粉河中部運動場
30361010,耐久高校
30384010,小熊広場
30390010,印南原
30391010,みなべ町晩稲グラウンド
31201020,栄町交差点
31201040,鳥取県庁西町分庁舎
31202030,米子（米子工業高校）
31202520,米子市役所前局
31203020,倉吉保健所
31204010,境港市誠道町
32201060,国設松江大気環境測定所
32201520,西津田自動車排出ガス測定局
32202040,浜田合同庁舎一般環境大気測定局
32203040,出雲保健所一般環境大気測定局
32204040,益田合同庁舎一般環境大気測定局
32204950,国設蟠竜湖酸性雨
32205010,大田一般環境大気測定局
32206040,安来一般環境大気測定局
32207060,江津市役所一般環境大気測定局
32209010,雲南合同庁舎一般環境大気測定局
32528950,国設隠岐酸性雨
33201040,江並
33201060,南輝
33201120,西大寺
33201130,南方
33201160,東岡山
33201180,出石
33201190,興除
33201210,吉備
33201220,五明
33201250,御津
33201540,西祖
33202020,春日
33202060,松江
33202070,呼松
33202080,宇野津
33202090,塩生
33202100,連島
33202110,倉敷美和
33202120,豊洲
33202130,天城
33202140,茶屋町
33202170,玉島
33202180,児島
33202400,監視センター
33202410,福田
33202420,庄
33202520,駅前
33202530,大高
33202550,西坂
