観測所番号,観測所名,緯度,経度
13321,幌糠,43.85333333333333,141.76
14026,浜益,43.58166666666666,141.38666666666666
14071,厚田,43.39666666666667,141.43666666666667
14101,新篠津,43.22,141.645
14116,山口,43.14833333333333,141.22166666666666
14121,石狩,43.193333333333335,141.37
14136,江別,43.11,141.60166666666666
14157,手稲山,43.083333333333336,141.20166666666665
14163,札幌,43.06,141.32833333333335
14163,札幌,43.06,141.32666666666665
14191,小金湯,42.96333333333333,141.21666666666667
14206,恵庭島松,42.92666666666667,141.565
14286,支笏湖畔,42.77166666666667,141.40666666666667
14296,千歳,42.775,141.69166666666666
15116,石狩沼田,43.815,141.92666666666668
15156,秩父別,43.78,141.96166666666667
15161,深川,43.718333333333334,142.07333333333332
15197,雨竜,43.66,141.89166666666668
15216,新城,43.611666666666665,142.20333333333335
15231,空知吉野,43.595,141.73166666666665
15241,滝川,43.57,141.93833333333333
15247,赤平,43.553333333333335,142.06666666666666
15251,芦別,43.52,142.19
15276,浦臼,43.428333333333335,141.80833333333334
15311,月形,43.33,141.61666666666667
15321,美唄,43.36333333333334,141.82666666666665
15356,岩見沢,43.211666666666666,141.785
15391,栗沢,43.12166666666667,141.745
15431,長沼,43.01166666666666,141.69333333333333
15442,夕張,43.038333333333334,141.95666666666668
15451,鹿島,43.08,142.1
15491,沼の沢,42.96,142.02
16026,美国,43.27166666666667,140.56333333333333
16061,神恵内,43.145,140.42333333333335
16076,余市,43.181666666666665,140.75833333333333
16091,小樽,43.181666666666665,141.015
16126,赤井川,43.083333333333336,140.82
16156,共和,42.98,140.60333333333332
16206,蘭越,42.81,140.54166666666666
16217,倶知安,42.9,140.75666666666666
16252,寿都,42.795,140.22333333333333
16272,ニセコ,42.778333333333336,140.66666666666666
16281,真狩,42.775,140.88
16286,喜茂別,42.79333333333334,140.94833333333332
16321,黒松内,42.663333333333334,140.31
17036,雄武,44.58,142.96333333333334
17076,興部,44.47,143.10833333333332
17091,西興部,44.33166666666666,142.935
17112,紋別,44.345,143.355
17116,紋別小向,44.303333333333335,143.40333333333334
17166,湧別,44.21333333333333,143.61833333333334
17196,滝上,44.17666666666667,143.06166666666667
17211,上藻別,44.18666666666667,143.335
17246,常呂,44.115,144.03666666666666
17306,遠軽,44.053333333333335,143.54
17316,佐呂間,44.01833333333333,143.76
17341,網走,44.016666666666666,144.27833333333334
17351,宇登呂,44.05166666666667,144.98166666666665
17386,丸瀬布,43.95166666666667,143.32833333333335
17482,白滝,43.865,143.15333333333334
17501,生田原,43.916666666666664,143.53166666666667
17512,仁頃山,43.86,143.74666666666667
17521,北見,43.776666666666664,143.84166666666667
17531,女満別,43.88,144.16333333333333
17541,東藻琴,43.84,144.285
17546,小清水,43.84166666666667,144.485
17561,斜里,43.885,144.7
17596,留辺蘂,43.74166666666667,143.45
17607,境野,43.70666666666666,143.64333333333335
17631,美幌,43.77,144.17166666666665
17642,山園,43.74333333333333,144.33666666666667
17686,置戸常元,43.62,143.44
17717,津別,43.70166666666667,144.03333333333333
17776,津別二又,43.583333333333336,143.865
18038,羅臼,44.02333333333333,145.18666666666667
18091,糸櫛別,43.721666666666664,144.98833333333334
18136,標津,43.66166666666667,145.13166666666666
18161,上標津,43.52,144.74666666666667
18171,中標津,43.54333333333334,144.97833333333332
18174,根室中標津,43.57666666666667,144.96
18256,別海,43.38166666666667,145.11833333333334
18273,根室,43.33,145.585
18281,納沙布,43.39333333333333,145.75833333333333
18311,厚床,43.221666666666664,145.22666666666666
19021,川湯,43.61666666666667,144.45666666666668
19051,弟子屈,43.51,144.46666666666667
19076,阿寒湖畔,43.43666666666667,144.08333333333334
19151,標茶,43.291666666666664,144.58666666666667
19191,鶴居,43.23166666666667,144.325
19261,中徹別,43.19833333333333,144.14166666666668
19281,塘路,43.14833333333333,144.49666666666667
19301,茶内原野,43.17333333333333,144.96666666666667
19311,榊町,43.12,145.11
19346,阿寒,43.11333333333334,144.12333333333333
19347,鶴丘,43.04,144.19166666666666
19376,太田,43.09,144.77833333333334
19406,二俣,42.971666666666664,143.875
19416,白糠,42.97,144.06166666666667
19432,釧路,42.985,144.37666666666667
19451,知方学,42.93833333333333,144.735
20047,三股,43.51,143.14833333333334
20071,小利別,43.58833333333333,143.68
20146,陸別,43.471666666666664,143.75333333333333
20186,ぬかびら源泉郷,43.36666666666667,143.19166666666666
20202,柏倉,43.361666666666665,143.45833333333334
20222,上螺湾,43.318333333333335,143.80166666666668
20266,上士幌,43.24166666666667,143.295
20276,足寄,43.24333333333333,143.55333333333334
20331,押帯,43.115,143.44333333333333
20341,本別,43.13166666666667,143.6
20356,新得,43.07666666666667,142.84
20361,鹿追,43.10333333333333,142.995
20371,駒場,43.05,143.18333333333334
20421,芽室,42.9,143.04333333333332
20432,帯広,42.92166666666667,143.21166666666667
20432,帯広,42.90833333333333,143.22333333333333
20441,池田,42.92,143.45833333333334
20451,留真,42.916666666666664,143.66166666666666
20506,浦幌,42.80833333333333,143.65666666666667
20551,帯広泉,42.733333333333334,143.21666666666667
20556,糠内,42.78666666666667,143.32833333333335
20601,上札内,42.641666666666666,143.09666666666666
20606,更別,42.651666666666664,143.195
20631,大津,42.68666666666667,143.64666666666668
20696,大樹,42.5,143.27333333333334
20751,広尾,42.29333333333334,143.31666666666666
21031,安平,42.815,141.82833333333335
21111,厚真,42.73,141.88833333333332
21126,穂別,42.76166666666667,142.14333333333335
21161,大滝,42.67,141.07833333333335
21171,森野,42.63,141.24666666666667
21187,苫小牧,42.623333333333335,141.54666666666665
21226,大岸,42.59,140.64333333333335
21237,洞爺湖温泉,42.565,140.80666666666667
21251,カルルス,42.516666666666666,141.10666666666665
21261,白老,42.54333333333334,141.35166666666666
21276,鵡川,42.59,141.93333333333334
21297,伊達,42.475,140.84833333333333
21312,登別,42.458333333333336,141.11833333333334
21323,室蘭,42.31166666666667,140.975
22036,日高,42.876666666666665,142.44166666666666
22072,仁世宇,42.77166666666667,142.35833333333332
22106,旭,42.62833333333333,142.39333333333335
22141,日高門別,42.49666666666667,142.05333333333334
22156,新和,42.54333333333334,142.33333333333334
22206,笹山,42.43333333333333,142.48166666666665
22241,静内,42.343333333333334,142.36166666666668
22291,三石,42.245,142.66166666666666
22306,中杵臼,42.223333333333336,142.94833333333332
22327,浦河,42.16166666666667,142.77666666666667
22356,目黒,42.12833333333333,143.31166666666667
22366,幌満,42.07666666666667,143.035
22391,えりも岬,41.925,143.24333333333334
23031,長万部,42.516666666666666,140.37333333333333
23086,八雲,42.251666666666665,140.27166666666668
23166,森,42.06666666666667,140.58833333333334
23191,大沼,41.97666666666667,140.715
23206,川汲,41.905,140.97
23226,北斗,41.88666666666667,140.65333333333334
23232,函館,41.81666666666667,140.75333333333333
23281,高松,41.77,140.82166666666666
23291,戸井泊,41.71666666666667,141.00333333333333
23321,知内,41.598333333333336,140.375
23326,木古内,41.68,140.43666666666667
23356,千軒,41.55833333333333,140.27166666666668
23376,松前,41.42333333333333,140.08666666666667
24141,熊石,42.12833333333333,139.985
24041,せたな,42.45,139.85166666666666
24051,今金,42.428333333333335,140.00833333333333
24101,奥尻,42.248333333333335,139.55666666666667
24156,米岡,42.071666666666665,139.43166666666667
24166,潮見,42.038333333333334,140.08833333333334
24201,鶉,41.93,140.31166666666667
24217,江差,41.86666666666667,140.12333333333333
24236,石崎,41.7,140.02833333333334
31001,大間,41.526666666666664,140.91166666666666
31036,湯野川,41.31333333333333,140.95666666666668
31111,むつ,41.28333333333333,141.21
31121,小田野沢,41.235,141.39666666666668
31136,今別,41.18,140.48166666666665
31156,脇野沢,41.145,140.82166666666666
31186,市浦,41.056666666666665,140.34666666666666
31201,蟹田,41.045,140.63333333333333
31296,五所川原,40.80833333333333,140.45833333333334
31312,青森,40.821666666666665,140.76833333333335
31321,大和山,40.848333333333336,140.985
31332,野辺地,40.885,141.16
31336,六ケ所,40.885,141.27166666666668
31366,鰺ケ沢,40.776666666666664,140.205
31386,青森大谷,40.733333333333334,140.68833333333333
31411,七戸,40.708333333333336,141.12833333333333
31436,深浦,40.645,139.93166666666667
31451,岳,40.62833333333333,140.26333333333332
31461,弘前,40.611666666666665,140.455
31466,黒石,40.666666666666664,140.585
31482,酸ケ湯,40.64833333333333,140.84833333333333
31506,三沢,40.675,141.375
31551,大鰐,40.53,140.555
31562,温川,40.515,140.78333333333333
31586,十和田,40.60666666666667,141.23333333333332
31602,八戸,40.526666666666664,141.52166666666668
31602,八戸,40.526666666666664,141.52166666666668
31646,碇ケ関,40.48166666666667,140.62
31662,休屋,40.42666666666667,140.89833333333334
31671,戸来,40.468333333333334,141.17666666666668
31721,三戸,40.38333333333333,141.25666666666666
32056,八森,40.413333333333334,139.94833333333332
32071,藤里,40.32,140.29333333333332
32091,陣場,40.415,140.61
32096,藤原,40.35333333333333,140.78
32111,能代,40.19833333333333,140.03166666666667
32126,鷹巣,40.22666666666667,140.37166666666667
32136,大館,40.251666666666665,140.505
32146,鹿角,40.215,140.78666666666666
32181,脇神,40.19166666666667,140.37166666666667
32206,湯瀬,40.12,140.84
32266,八幡平,40.013333333333335,140.80166666666668
32276,男鹿真山,39.93833333333333,139.78166666666667
32286,男鹿,39.91166666666667,139.9
32287,大潟,40.0,139.95
32296,五城目,39.93833333333333,140.115
32311,阿仁合,39.99333333333333,140.40333333333334
32312,比立内,39.903333333333336,140.45
32376,桧木内,39.81166666666667,140.585
32402,秋田,39.71666666666667,140.09833333333333
32407,岩見三内,39.70666666666666,140.28666666666666
32408,仁別,39.8,140.21666666666667
32426,鎧畑,39.775,140.665
32431,田沢湖高原,39.778333333333336,140.76166666666666
32451,雄和,39.615,140.21833333333333
32466,角館,39.60333333333333,140.55666666666667
32476,田沢湖,39.69833333333333,140.73166666666665
32496,大正寺,39.526666666666664,140.23333333333332
32551,大曲,39.49,140.495
32571,本荘,39.36,140.055
32581,東由利,39.305,140.28833333333333
32596,横手,39.32,140.555
32616,にかほ,39.255,139.91333333333333
32626,矢島,39.235,140.13666666666666
32681,笹子,39.10333333333333,140.29333333333332
32691,湯沢,39.18666666666667,140.46333333333334
32701,東成瀬,39.178333333333335,140.64833333333334
32771,湯の岱,38.96,140.52833333333334
33006,種市,40.403333333333336,141.7
33026,軽米,40.325,141.46666666666667
33071,二戸,40.29833333333333,141.29833333333335
33086,大野,40.281666666666666,141.66666666666666
33136,山形,40.14833333333333,141.57166666666666
33146,久慈,40.16833333333334,141.74833333333333
33166,荒屋,40.10333333333333,141.05
33176,奥中山,40.06,141.225
33186,葛巻,40.04,141.45666666666668
33201,下戸鎖,40.085,141.71166666666667
33206,普代,40.00333333333333,141.88333333333333
33226,岩手松尾,39.95166666666667,141.065
33231,一方井,39.973333333333336,141.16666666666666
33296,好摩,39.86833333333333,141.16666666666666
33326,岩泉,39.846666666666664,141.795
33336,小本,39.846666666666664,141.96333333333334
33351,葛根田,39.776666666666664,140.945
33361,滝沢,39.78,141.09666666666666
33371,薮川,39.78333333333333,141.32833333333335
33421,雫石,39.696666666666665,140.975
33431,盛岡,39.69833333333333,141.165
33441,区界,39.65,141.35333333333332
33472,宮古,39.64666666666667,141.965
33486,沢内,39.54833333333333,140.84333333333333
33501,紫波,39.54666666666667,141.12666666666667
33526,川井,39.598333333333336,141.68166666666667
33566,豊沢,39.48,140.96833333333333
33576,花巻,39.428333333333335,141.135
33581,大迫,39.47,141.27833333333334
33596,附馬牛,39.45666666666666,141.50666666666666
33611,大槌,39.43833333333333,141.80666666666667
33616,山田,39.45,141.95666666666668
33631,湯田,39.31,140.77666666666667
33671,遠野,39.33833333333333,141.54333333333332
33711,金ケ崎,39.225,141.015
33716,北上,39.288333333333334,141.11
33726,米里,39.233333333333334,141.31
33751,釜石,39.27,141.87833333333333
33776,若柳,39.14,141.06333333333333
33781,江刺,39.18333333333333,141.16166666666666
33801,住田,39.141666666666666,141.57333333333332
33831,祭畤,39.01166666666666,140.865
33841,衣川,39.05,141.045
33856,大東,39.038333333333334,141.29666666666665
33877,大船渡,39.06333333333333,141.71333333333334
33911,一関,38.93333333333333,141.125
33921,千厩,38.92166666666667,141.33
34012,駒ノ湯,38.913333333333334,140.82833333333335
34026,気仙沼,38.906666666666666,141.55666666666667
34056,鴬沢,38.805,140.94833333333332
34096,川渡,38.74333333333333,140.76
34111,築館,38.735,141.005
34171,米山,38.625,141.18666666666667
34186,志津川,38.681666666666665,141.44833333333332
34206,加美,38.571666666666665,140.72666666666666
34216,古川,38.598333333333336,140.91166666666666
34241,雄勝,38.52,141.465
34262,泉ケ岳,38.406666666666666,140.72166666666666
34266,大衡,38.473333333333336,140.88833333333332
34276,鹿島台,38.46,141.09166666666667
34292,石巻,38.42666666666667,141.29833333333335
34296,女川,38.446666666666665,141.45
34311,新川,38.303333333333335,140.63666666666666
34331,塩釜,38.33833333333333,141.01333333333332
34392,仙台,38.26166666666666,140.89666666666668
34436,名取,38.138333333333335,140.91666666666666
34461,白石,38.015,140.61166666666668
34462,蔵王,38.126666666666665,140.68
34471,亘理,38.025,140.85833333333332
34506,丸森,37.931666666666665,140.77833333333334
34526,筆甫,37.82666666666667,140.72833333333332
35002,飛島,39.18333333333333,139.54333333333332
35052,酒田,38.90833333333333,139.84333333333333
35056,酒田大沢,38.965,139.99833333333333
35071,差首鍋,38.91833333333334,140.2
35086,浜中,38.81166666666667,139.78666666666666
35116,金山,38.87833333333333,140.33166666666668
35141,鶴岡,38.735,139.82833333333335
35146,狩川,38.8,139.97333333333333
35162,新庄,38.75666666666667,140.31166666666667
35171,瀬見,38.755,140.41333333333333
35176,向町,38.75833333333333,140.51666666666668
35201,櫛引,38.67166666666667,139.84833333333333
35216,肘折,38.60666666666667,140.16333333333333
35231,尾花沢,38.608333333333334,140.41166666666666
35246,鼠ケ関,38.56666666666667,139.55166666666668
35256,荒沢,38.50833333333333,139.78166666666667
35332,村山,38.46,140.34833333333333
35334,東根,38.41166666666667,140.37
35361,大井沢,38.39,139.99333333333334
35376,左沢,38.37,140.19166666666666
35426,山形,38.255,140.345
35456,長井,38.105,140.015
35466,上山中山,38.11666666666667,140.21333333333334
35486,小国,38.07833333333333,139.735
35511,高畠,38.00333333333333,140.20666666666668
35537,中津川,37.91,139.84333333333333
35541,高峰,37.99,139.95333333333335
35552,米沢,37.91166666666667,140.14333333333335
36056,茂庭,37.891666666666666,140.43666666666667
36066,梁川,37.85166666666667,140.58833333333334
36106,桧原,37.721666666666664,140.05833333333334
36127,福島,37.75833333333333,140.47
36127,福島,37.76833333333333,140.435
36151,相馬,37.78333333333333,140.925
36176,喜多方,37.65833333333333,139.86333333333334
36196,鷲倉,37.66833333333334,140.26
36221,飯舘,37.665,140.72666666666666
36231,原町,37.638333333333335,140.98333333333332
36251,西会津,37.58833333333333,139.65666666666667
36276,猪苗代,37.55166666666667,140.10833333333332
36291,二本松,37.583333333333336,140.43
36307,津島,37.56,140.75333333333333
36342,金山,37.473333333333336,139.52833333333334
36361,若松,37.48833333333334,139.91
36391,船引,37.435,140.57666666666665
36411,浪江,37.49166666666667,140.965
36426,只見,37.343333333333334,139.31333333333333
36461,湖南,37.388333333333335,140.09
36476,郡山,37.36833333333333,140.33
36501,川内,37.336666666666666,140.80833333333334
36511,富岡,37.346666666666664,141.01666666666668
36536,南郷,37.265,139.53666666666666
36562,湯本,37.276666666666664,140.06333333333333
36571,長沼,37.288333333333334,140.21833333333333
36581,玉川,37.22666666666667,140.42666666666668
36591,小野新町,37.28666666666667,140.625
36597,川前,37.24666666666667,140.72333333333333
36611,広野,37.233333333333334,141.0
36641,田島,37.20666666666666,139.795
36667,白河,37.13166666666667,140.215
36676,石川,37.14666666666667,140.46
36716,桧枝岐,37.01,139.375
36726,舘岩,37.09166666666667,139.53166666666667
36781,平,37.065,140.87666666666667
36821,東白川,36.93833333333333,140.40833333333333
36836,山田,36.93333333333333,140.73333333333332
36846,小名浜,36.946666666666665,140.90333333333334
36846,小名浜,36.96333333333333,140.88333333333333
40041,花園,36.86833333333333,140.63666666666666
40046,北茨城,36.833333333333336,140.77166666666668
40061,大子,36.778333333333336,140.345
40066,徳田,36.778333333333336,140.48166666666665
40076,大能,36.74333333333333,140.59333333333333
40091,常陸大宮,36.60666666666667,140.325
40126,中野,36.515,140.47333333333333
40136,日立,36.58,140.645
40181,門井,36.333333333333336,140.03333333333333
40191,笠間,36.395,140.24
40201,水戸,36.38,140.46666666666667
40221,古河,36.20166666666667,139.71666666666667
40231,下館,36.281666666666666,139.98833333333334
40241,柿岡,36.233333333333334,140.18833333333333
40251,美野里,36.236666666666665,140.325
40281,下妻,36.16833333333334,139.945
40311,鉾田,36.16833333333334,140.52666666666667
40326,坂東,36.035,139.89333333333335
40336,つくば,36.056666666666665,140.125
40341,土浦,36.10333333333333,140.22
40391,江戸崎,35.96,140.32
40406,鹿嶋,35.96333333333333,140.62166666666667
40426,龍ケ崎,35.89,140.21166666666667
41011,那須高原,37.123333333333335,140.035
41076,五十里,36.92166666666667,139.695
41091,黒磯,36.98166666666667,140.01833333333335
41116,土呂部,36.891666666666666,139.56833333333333
41141,大田原,36.84,140.035
41166,奥日光,36.73833333333333,139.5
41172,日光東町,36.75,139.615
41181,塩谷,36.75666666666667,139.88333333333333
41211,足尾,36.64666666666667,139.44833333333332
41241,高根沢,36.60666666666667,139.99833333333333
41247,那須烏山,36.641666666666666,140.11666666666667
41271,鹿沼,36.59166666666667,139.735
41277,宇都宮,36.54833333333333,139.86833333333334
41311,葛生,36.431666666666665,139.59
41331,真岡,36.47666666666667,139.98666666666668
41356,足利,36.34166666666667,139.46166666666667
41361,佐野,36.36333333333334,139.57
41371,栃木,36.373333333333335,139.70333333333335
41376,小山,36.33833333333333,139.83
42046,藤原,36.86333333333333,139.05833333333334
42091,みなかみ,36.77333333333333,138.965
42106,片品,36.77166666666667,139.23833333333334
42121,草津,36.61666666666667,138.59166666666667
42146,沼田,36.66833333333334,139.02166666666668
42186,中之条,36.586666666666666,138.85
42221,田代,36.46333333333333,138.46333333333334
42241,榛名山,36.471666666666664,138.87333333333333
42251,前橋,36.405,139.06
42251,前橋,36.38666666666666,139.03833333333333
42261,黒保根,36.501666666666665,139.28333333333333
42266,桐生,36.41,139.325
42286,上里見,36.376666666666665,138.895
42302,伊勢崎,36.33166666666666,139.165
42326,西野牧,36.245,138.70666666666668
42341,藤岡,36.24166666666667,139.07
42366,館林,36.24,139.51333333333332
42396,神流,36.108333333333334,138.89666666666668
43051,寄居,36.105,139.18333333333334
43056,熊谷,36.15,139.38
43091,上吉田,36.053333333333335,138.98
43121,鴻巣,36.065,139.52166666666668
43126,久喜,36.086666666666666,139.635
43151,三峰,35.92666666666667,138.92333333333335
43156,秩父,35.99,139.07333333333332
43157,浦山,35.92,139.07
43162,ときがわ,35.99,139.20666666666668
43171,鳩山,35.985,139.335
43231,飯能,35.83833333333333,139.32166666666666
43241,さいたま,35.875,139.58666666666667
43256,越谷,35.88333333333333,139.75666666666666
43266,所沢,35.77333333333333,139.41333333333333
44046,小河内,35.791666666666664,139.05
44051,小沢,35.735,139.12333333333333
44056,青梅,35.788333333333334,139.31166666666667
44071,練馬,35.73833333333333,139.59166666666667
44112,八王子,35.666666666666664,139.31666666666666
44116,府中,35.68333333333333,139.48333333333332
44126,世田谷,35.626666666666665,139.62
44132,東京,35.69166666666667,139.75
44132,東京,35.69166666666667,139.75166666666667
44136,江戸川臨海,35.638333333333335,139.86333333333334
44166,羽田,35.553333333333335,139.78
44172,大島,34.748333333333335,139.36166666666668
44173,大島北ノ山,34.781666666666666,139.36
44191,利島,34.528333333333336,139.28166666666667
44207,新島,34.36833333333333,139.26833333333335
44216,神津島,34.18833333333333,139.13333333333333
44226,三宅島,34.123333333333335,139.52
44228,三宅坪田,34.07333333333333,139.56
44262,八重見ヶ原,33.115,139.785
44263,八丈島,33.12166666666667,139.77833333333334
44263,八丈島,33.10333333333333,139.78333333333333
44281,青ヶ島,32.46666666666667,139.76
44301,父島,27.091666666666665,142.19
44316,母島,26.635,142.16166666666666
44356,南鳥島,24.288333333333334,153.98333333333332
50066,富士山,35.36,138.72666666666666
45061,我孫子,35.86333333333333,140.11
45081,香取,35.858333333333334,140.50166666666667
45086,東庄,35.795,140.68166666666667
45106,船橋,35.711666666666666,140.04333333333332
45116,佐倉,35.72833333333333,140.21166666666667
45121,成田,35.763333333333335,140.385
45148,銚子,35.73833333333333,140.85666666666665
45148,銚子,35.72,140.85666666666665
45181,横芝光,35.655,140.505
45212,千葉,35.60166666666667,140.10333333333332
45261,茂原,35.43666666666667,140.29333333333332
45282,木更津,35.361666666666665,139.94
45291,牛久,35.39666666666667,140.14833333333334
45326,坂畑,35.235,140.09833333333333
45331,大多喜,35.251666666666665,140.215
45346,鋸南,35.12166666666667,139.83666666666667
45361,鴨川,35.111666666666665,140.1
45371,勝浦,35.15,140.31166666666667
45401,館山,34.986666666666665,139.865
46001,相模湖,35.61333333333333,139.19333333333333
46046,相模原中央,35.571666666666665,139.37
46061,日吉,35.55166666666667,139.65
46076,丹沢湖,35.41,139.04333333333332
46091,海老名,35.43333333333333,139.38666666666666
46106,横浜,35.43833333333333,139.65166666666667
46136,平塚,35.345,139.305
46141,辻堂,35.32,139.45
46161,箱根,35.221666666666664,139.04166666666666
46166,小田原,35.276666666666664,139.155
46211,三浦,35.178333333333335,139.63
48031,野沢温泉,36.91166666666667,138.44166666666666
48061,信濃町,36.80833333333333,138.19666666666666
48066,飯山,36.875,138.375
48097,小谷,36.821666666666665,137.93
48141,白馬,36.69833333333333,137.86166666666668
48146,鬼無里,36.68833333333333,137.965
48156,長野,36.66166666666667,138.19166666666666
48172,笠岳,36.665,138.45833333333334
48191,大町,36.52333333333333,137.83166666666668
48196,信州新町,36.54833333333333,137.99666666666667
48216,菅平,36.531666666666666,138.325
48247,聖高原,36.486666666666665,138.06833333333333
48256,上田,36.4,138.265
48296,穂高,36.343333333333334,137.88166666666666
48321,東御,36.38333333333333,138.38333333333333
48331,軽井沢,36.34166666666667,138.54666666666665
48331,軽井沢,36.335,138.56333333333333
48346,上高地,36.248333333333335,137.63333333333333
48361,松本,36.24666666666667,137.97
48363,松本今井,36.166666666666664,137.92166666666665
48371,鹿教湯,36.30166666666667,138.13666666666666
48381,立科,36.27166666666667,138.31333333333333
48386,佐久,36.24666666666667,138.47666666666666
48436,白樺湖,36.105,138.22833333333332
48466,奈川,36.08833333333333,137.68333333333334
48491,諏訪,36.045,138.10833333333332
48491,諏訪,36.04,138.10166666666666
48516,北相木,36.071666666666665,138.61166666666668
48531,開田高原,35.93833333333333,137.60166666666666
48536,木祖薮原,35.93666666666667,137.78666666666666
48546,辰野,35.983333333333334,137.98333333333332
48556,高遠,35.95333333333333,138.10833333333332
48561,原村,35.97,138.22
48571,野辺山,35.94833333333333,138.47166666666666
48601,御嶽山,35.87166666666667,137.50333333333333
48606,木曽福島,35.84,137.68833333333333
48621,伊那,35.825,137.955
48681,宮田高原,35.77333333333333,137.885
48691,杉島,35.72666666666667,138.09333333333333
48716,須原,35.69833333333333,137.69166666666666
48717,南木曽,35.61,137.62
48731,飯島,35.653333333333336,137.89833333333334
48737,大鹿,35.556666666666665,138.04
48767,飯田,35.52333333333333,137.82166666666666
48826,浪合,35.373333333333335,137.69166666666666
48836,阿南,35.31333333333333,137.81166666666667
48841,南信濃,35.321666666666665,137.93166666666667
49036,大泉,35.861666666666665,138.38666666666666
49052,乙女湖,35.806666666666665,138.655
49086,韮崎,35.693333333333335,138.44833333333332
49142,甲府,35.666666666666664,138.55333333333334
49151,勝沼,35.663333333333334,138.725
49161,大月,35.608333333333334,138.93833333333333
49172,上野原,35.62,139.105
49187,富士川,35.56166666666667,138.44833333333332
49196,古関,35.528333333333336,138.615
49236,切石,35.46666666666667,138.44166666666666
49251,河口湖,35.5,138.76
49256,山中,35.43666666666667,138.83666666666667
49316,南部,35.288333333333334,138.445
50056,白糸,35.31166666666667,138.57833333333335
50106,井川,35.21666666666667,138.22166666666666
50112,有東木,35.20666666666666,138.36833333333334
50136,御殿場,35.305,138.92666666666668
50196,富士,35.185,138.66333333333333
50206,三島,35.11333333333334,138.925
50226,佐久間,35.056666666666665,137.76166666666666
50232,春野,35.01166666666666,137.945
50241,川根本町,35.10166666666667,138.12833333333333
50247,鍵穴,35.04833333333333,138.24666666666667
50261,清水,35.053333333333335,138.52166666666668
50281,網代,35.045,139.09166666666667
50296,熊,34.958333333333336,137.73333333333332
50317,高根山,34.975,138.19666666666666
50331,静岡,34.975,138.40333333333334
50371,三ヶ日,34.80166666666667,137.55666666666667
50386,天竜,34.89,137.81333333333333
50391,三倉,34.895,137.94
50416,土肥,34.876666666666665,138.76166666666666
50426,湯ケ島,34.9,138.925
50427,天城山,34.87166666666667,139.02333333333334
50456,浜松,34.75333333333333,137.71166666666667
50466,掛川,34.76833333333333,137.995
50476,菊川牧之原,34.785,138.13833333333332
50477,静岡空港,34.795,138.18833333333333
50491,松崎,34.755,138.78333333333333
50506,稲取,34.781666666666666,139.04833333333335
50536,磐田,34.69166666666667,137.88
50551,御前崎,34.60333333333333,138.21333333333334
50561,石廊崎,34.60333333333333,138.84166666666667
51011,一宮,35.29833333333333,136.85333333333332
51031,愛西,35.21666666666667,136.69833333333332
51056,小原,35.22833333333333,137.285
51071,稲武,35.211666666666666,137.50666666666666
51077,茶臼山,35.22,137.66
51096,蟹江,35.13666666666666,136.79166666666666
51106,名古屋,35.166666666666664,136.965
51116,豊田,35.13166666666667,137.17666666666668
51192,阿蔵,35.07833333333333,137.41333333333333
51216,大府,34.995,136.94333333333333
51226,岡崎,34.91833333333334,137.19333333333333
51241,作手,34.97666666666667,137.425
